# reason	meta	url
out_of_range	2025-12-18	https://www.energynetworks.com.au/news/energy-insider/what-australias-energy-system-wants-for-christmas/
out_of_range	2025-12-17	https://www.energynetworks.com.au/news/the-age-of-dso/
out_of_range	2025-12-17	https://www.energynetworks.com.au/news/meet-new-ena-chair-andrew-bills/
out_of_range	2025-12-17	https://www.energynetworks.com.au/news/energy-insider/why-you-cant-miss-dan-gardner-at-en26/
out_of_range	2025-12-16	https://www.energynetworks.com.au/news/media-releases/joint-statement-on-the-national-electricity-market-review/
out_of_range	2025-12-15	https://www.energynetworks.com.au/news/media-releases/energy-networks-australia-responds-to-aemc-pricing-review-released-today/
out_of_range	2025-12-09	https://www.energynetworks.com.au/news/draft-isp-aims-to-right-size-transmission-and-reinforces-networks-as-the-backbone-of-the-energy-transition/
out_of_range	2026-02-04	https://www.efrag.org/en/news-and-calendar/news
out_of_range	2026-02-04	https://www.efrag.org/en/news-and-calendar/news?facets_query=
out_of_range	2026-02-04	https://www.efrag.org/en/news-and-calendar/news?f%5B0%5D=department%3A9
out_of_range	2026-02-04	https://www.efrag.org/en/news-and-calendar/news/new-educational-video-series-available-to-navigate-vsme-implementation
out_of_range	2026-02-04	https://www.efrag.org/en/news-and-calendar/news
out_of_range	2026-02-03	https://www.efrag.org/en/news-and-calendar/news?f%5B0%5D=category%3A103
out_of_range	2026-02-03	https://www.efrag.org/en/news-and-calendar/news/efrag-sr-teg-online-meeting-5-february-2026
out_of_range	2026-02-03	https://www.efrag.org/en/news-and-calendar/news/efrag-calls-for-expression-of-interest-on-vsme-digital-tools-and-platforms
out_of_range	2025-12-18	https://www.efrag.org/en/news-and-calendar/news?f%5B0%5D=category%3A108
out_of_range	2025-12-10	https://www.efrag.org/en/updates
out_of_range	2025-12-10	https://www.efrag.org/en/updates?facets_query=
out_of_range	2025-11-21	https://www.efrag.org/en/news-and-calendar/news?f%5B0%5D=category%3A106
out_of_range	2025-09-09	https://www.globalreporting.org/media/mgspa4n4/gri-global-website-term-of-use-mpgc-05222025_25-august.pdf
out_of_range	2024-06-01	https://www.efrag.org/en/news-and-calendar/financial-reporting-publications
out_of_range	2024-06-01	https://www.efrag.org/en/news-and-calendar/financial-reporting-publications
out_of_range	2023-03-23	https://assets.bbhub.io/company/sites/60/2023/09/2023-Status-Report.pdf
out_of_range	2022-12-19	https://assets.bbhub.io/company/sites/60/2023/03/TCFD_Report_Index.pdf
out_of_range	2022-11-04	https://assets.bbhub.io/company/sites/60/2022/11/2022-tcfd-implementation-and-use-survey-summary.pdf
out_of_range	2022-08-01	https://assets.bbhub.io/company/sites/60/2022/10/2022-TCFD-Status-Report.pdf
out_of_range	2022-08-01	https://assets.bbhub.io/company/sites/60/2023/02/tcfd-2022-status-report-simplified-chinese.pdf
out_of_range	2022-04-14	https://assets.bbhub.io/company/sites/60/2022/11/2022-asset-manager-and-asset-owner-survey-summary.pdf
out_of_range	2021-12-08	https://assets.bbhub.io/company/sites/60/2022/03/GPP_TCFD_Status_Report_2021_Book_v17.pdf
out_of_range	2021-10-27	https://assets.bbhub.io/company/sites/60/2022/02/TCFD-Fundamentals-Workshop.pdf
out_of_range	2021-10-27	https://assets.bbhub.io/company/sites/60/2022/02/TCFD-Governance-Workshop.pdf
out_of_range	2021-10-27	https://assets.bbhub.io/company/sites/60/2022/02/TCFD-Strategy-Workshop.pdf
out_of_range	2021-10-27	https://assets.bbhub.io/company/sites/60/2022/02/TCFD-Risk-Management-Workshop.pdf
out_of_range	2021-10-27	https://assets.bbhub.io/company/sites/60/2022/02/Metrics-and-Targets-Workshop.pdf
out_of_range	2021-10-13	https://assets.bbhub.io/company/sites/60/2021/10/2021-Summary-of-Annex-Changes.pdf
out_of_range	2021-10-12	https://assets.bbhub.io/company/sites/60/2021/10/Summary-of-Forward-Looking-Financial-Metrics-Consultation.pdf
out_of_range	2021-08-27	https://assets.bbhub.io/company/sites/60/2021/11/TCFD-Recommendation-of-the-Task-Force-on-Climate-related-Financial-Disclosures-Simplified-Chinese-Translation.pdf
out_of_range	2021-08-27	https://assets.bbhub.io/company/sites/60/2021/11/TCFD-The-Use-of-Scenario-Analysis-in-Disclosure-of-Climate-Related-Risks-and-Opportunities-Simplified-Chinese-Translation.pdf
out_of_range	2021-07-20	https://assets.bbhub.io/company/sites/60/2022/03/TCFD-Guidance_on_Metrics_Targets_and_Transition_Plans_%E4%B8%AD%E8%AF%91%E7%89%88.pdf
out_of_range	2021-02-15	https://assets.bbhub.io/company/sites/60/2021/05/2021-TCFD-Metrics_Targets_Guidance.pdf
out_of_range	2020-09-28	https://assets.bbhub.io/company/sites/60/2020/09/2020-TCFD_Guidance-Risk-Management-Integration-and-Disclosure.pdf
out_of_range	2020-09-20	https://assets.bbhub.io/company/sites/60/2021/11/TCFD-Guidance-on-Risk-Management-Integration-and-Disclosure-Simplified-Chinese-Translation.pdf
out_of_range	2020-09-20	https://assets.bbhub.io/company/sites/60/2021/07/TCFD_Consultation_ForwardLooking_Final.pdf
out_of_range	2020-06-15	https://assets.bbhub.io/company/sites/60/2021/12/Implementing-the-Recommendations-of-the-Task-Force-on-Climate-related-Financial-Disclosures-TCFD-Annex-2017-Simplified-Chinese-Translation.pdf
out_of_range	2020-06-15	https://assets.bbhub.io/company/sites/60/2021/10/TCFD-Whats-New-in-2021-Webinar.pdf
out_of_range	2020-06-15	https://assets.bbhub.io/company/sites/60/2021/10/October_2021_Metrics_Targets_and_Transition_Plans_Consultation_Summary_of_Responses.pdf
out_of_range	2020-05-12	https://assets.bbhub.io/company/sites/60/2020/09/2020-TCFD_Status-Report.pdf
out_of_range	2019-06-20	https://assets.bbhub.io/company/sites/60/2020/09/2020-TCFD_Guidance-Scenario-Analysis-Guidance.pdf
out_of_range	2019-06-17	https://assets.bbhub.io/company/sites/60/2021/11/TCFD-Guidance-on-Scenario-Analysis-for-Non-Financial-Companies-Simplified-Chinese-Translation.pdf
out_of_range	2016-09-16	https://assets.bbhub.io/company/sites/60/2020/10/FINAL-TCFD-Annex-Amended-121517.pdf
out_of_range	2016-09-16	https://assets.bbhub.io/company/sites/60/2021/03/FINAL-TCFD-Technical-Supplement-062917.pdf
out_of_range	2012-02-06	https://assets.bbhub.io/company/sites/60/2020/10/TCFD-Recommendations-Report-Traditional-Chinese-Translation.pdf
out_of_range	2012-02-06	https://assets.bbhub.io/company/sites/60/2021/12/TCFD-Status-Report-2021-Simplified-Chinese-Translation.pdf
per_domain_cap	dom=www.efrag.org cap=3	https://www.efrag.org/en/news-and-calendar/news?f%5B0%5D=category%3A139
per_domain_cap	dom=www.efrag.org cap=3	https://www.efrag.org/en/news-and-calendar/news?f%5B0%5D=category%3A42
